"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"nCD4+T","cmCD8+T","MIF","CD74_CXCR4",0.0838101835547724,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","cmCD8+T","MIF","CD74_CXCR4",0.233884494421982,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"pDC","cmCD8+T","MIF","CD74_CXCR4",0.0845061406152671,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CD16+Mono","ctlCD4+T","MIF","CD74_CXCR4",0.0558368212377695,0.04,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","ctlCD4+T","MIF","CD74_CXCR4",0.159381010805108,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","ctlCD4+T","MIF","CD74_CXCR4",0.123063292169309,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","ctlCD4+T","MIF","CD74_CXCR4",0.170313636692656,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK","ctlCD4+T","MIF","CD74_CXCR4",0.0620185727873108,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma_B","ctlCD4+T","MIF","CD74_CXCR4",0.16950671991881,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Treg","ctlCD4+T","MIF","CD74_CXCR4",0.0618442012454984,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cDC2","ctlCD4+T","MIF","CD74_CXCR4",0.138235828690566,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"cmCD8+T","ctlCD4+T","MIF","CD74_CXCR4",0.143426209971111,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD4+T","ctlCD4+T","MIF","CD74_CXCR4",0.0624862779483238,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"ctlCD8+T","ctlCD4+T","MIF","CD74_CXCR4",0.0577098339875543,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"emraCD8+T","ctlCD4+T","MIF","CD74_CXCR4",0.0679111660663893,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"gdT","ctlCD4+T","MIF","CD74_CXCR4",0.0703334215266412,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"hCD4+T","ctlCD4+T","MIF","CD74_CXCR4",0.0648789859617243,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"mB_cells","ctlCD4+T","MIF","CD74_CXCR4",0.140401377465888,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nB_cells","ctlCD4+T","MIF","CD74_CXCR4",0.0599000581334497,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nCD8+T","ctlCD4+T","MIF","CD74_CXCR4",0.160893253821997,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cycling","ctlCD8+T","MIF","CD74_CXCR4",0.156945167411939,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"HPC","ctlCD8+T","MIF","CD74_CXCR4",0.121102535483419,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT","ctlCD8+T","MIF","CD74_CXCR4",0.167744049877691,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
